src_id,rel_type,dst_id,qualifier
LDC-CURR,constitutes,LDC-TEACH,
LDC-ENROL,constitutes,LDC-STUD,
LDC-CURR,is related to,LDC-ENROL,
LDC-CURR,categorises,IA-COURSE-CAT,
LDC-CURR,categorises,IA-UNIT-OUTLINES,
LDC-ENROL,categorises,IA-STUDENT-ENROL,
LDC-CURR,encapsulates,DE-SRS-COURSE,
LDC-CURR,encapsulates,DE-SRS-UNIT,
LDC-CURR,encapsulates,DE-SRS-COURSE-OFFERING,
LDC-CURR,encapsulates,DE-CMS-UNIT-OUTLINE,
LDC-CURR,encapsulates,DE-LMS-UNIT-SITE,
LDC-CURR,encapsulates,DE-EDW-DIM-COURSE,
LDC-ENROL,encapsulates,DE-SRS-ENROLMENT,
PAC-SRS,processes,DE-SRS-COURSE,
PAC-SRS,processes,DE-SRS-UNIT,
PAC-SRS,processes,DE-SRS-COURSE-OFFERING,
PAC-SRS,processes,DE-SRS-ENROLMENT,
PAC-CMS,processes,DE-CMS-UNIT-OUTLINE,
PAC-LMS,processes,DE-LMS-UNIT-SITE,
PAC-EDW,processes,DE-EDW-DIM-COURSE,
PAC-SRS,processes,LDC-CURR,
PAC-CMS,processes,LDC-CURR,
PAC-SRS,contributes to,IA-COURSE-CAT,
PAC-CMS,contributes to,IA-COURSE-CAT,
PAC-CMS,contributes to,IA-UNIT-OUTLINES,
PAC-SRS,contributes to,IA-STUDENT-ENROL,
PTC-RDBMS,stores,DE-SRS-COURSE,
PTC-RDBMS,stores,DE-SRS-UNIT,
PTC-RDBMS,stores,DE-SRS-COURSE-OFFERING,
PTC-RDBMS,stores,DE-SRS-ENROLMENT,
PTC-RDBMS,stores,DE-CMS-UNIT-OUTLINE,
PTC-LAKEHOUSE,stores,DE-EDW-DIM-COURSE,
PTC-RDBMS,realises,PAC-SRS,
PTC-RDBMS,realises,PAC-CMS,
PTC-LAKEHOUSE,realises,PAC-EDW,
PTC-RDBMS,realises,LTC-DBP,
PTC-LAKEHOUSE,realises,LTC-ANALYTICS,
PAC-SRS,realises,LAC-SIS,
PAC-CMS,realises,LAC-CMS,
PAC-SRS,realises,CAP-ENROL-MGMT,
PAC-CMS,realises,CAP-CURR-DEV,
PAC-CMS,is source for,INT-CMS-SRS,
PAC-SRS,is target of,INT-CMS-SRS,
PAC-SRS,is source for,INT-SRS-EDW,
PAC-EDW,is target of,INT-SRS-EDW,
PTC-IPAAS,realises,INT-CMS-SRS,
PTC-LAKEHOUSE,realises,INT-SRS-EDW,
INT-CMS-SRS,processes,LDC-CURR,
INT-SRS-EDW,processes,LDC-CURR,
INT-SRS-EDW,processes,LDC-ENROL,
INT-CMS-SRS,contributes to,IF-CMS-SRS,
PAC-CMS,provides to / uses,IF-CMS-SRS,
PAC-SRS,provides to / uses,IF-CMS-SRS,
LDC-CURR,traverses,IF-CMS-SRS,
DE-SRS-COURSE-OFFERING,contributes to,DP-CURR-HEALTH,
DE-CMS-UNIT-OUTLINE,contributes to,DP-CURR-HEALTH,
DE-SRS-ENROLMENT,contributes to,DP-ENROL-EXTRACT,
DP-CURR-HEALTH,applies,MSR-OUTLINE-COMPLETENESS,
DP-ENROL-EXTRACT,applies,MSR-ENROL-VALIDITY,
MSR-OUTLINE-COMPLETENESS,applies to,DE-CMS-UNIT-OUTLINE,
MSR-ENROL-VALIDITY,applies to,DE-SRS-ENROLMENT,
PTC-LAKEHOUSE,realises,DP-CURR-HEALTH,
ORG-DAU,produces,DP-CURR-HEALTH,
ORG-REG,produces,DP-ENROL-EXTRACT,
POS-CURR-MGR,is Owner / Data Custodian / Data Steward / Data Administrator of,IA-COURSE-CAT,Owner
POS-CURR-MGR,is Owner / Data Custodian / Data Steward / Data Administrator of,IA-UNIT-OUTLINES,Owner
POS-DATA-GOV,is Owner / Data Custodian / Data Steward / Data Administrator of,IA-COURSE-CAT,Data Steward
POS-DATA-GOV,is Owner / Data Custodian / Data Steward / Data Administrator of,IA-STUDENT-ENROL,Data Steward
POS-REG,is Owner / Data Custodian / Data Steward / Data Administrator of,IA-STUDENT-ENROL,Owner
POS-INFO-ARCH,is Owner / Data Custodian / Data Steward / Data Administrator of,IA-COURSE-CAT,Data Administrator
IA-COURSE-CAT,is associated with,ORG-ACAD,
IA-UNIT-OUTLINES,is associated with,ORG-ACAD,
IA-STUDENT-ENROL,is associated with,ORG-REG,
POS-CURR-MGR,belongs to,ORG-ACAD,
POS-REG,belongs to,ORG-REG,
POS-DATA-GOV,belongs to,ORG-DAU,
POS-INFO-ARCH,belongs to,ORG-DAU,
POS-CURR-MGR,owns,PAC-CMS,
POS-REG,owns,PAC-SRS,
POS-CURR-MGR,owns,INT-CMS-SRS,
IA-COURSE-CAT,relates to,CAP-CURR-DEV,
IA-STUDENT-ENROL,relates to,CAP-ENROL-MGMT,
ORG-ACAD,owns,DEF-COURSE,
ORG-ACAD,owns,DEF-UNIT,
ORG-REG,owns,DEF-ENROLLED-STUDENT,
DEF-COURSE,relates to,DE-SRS-COURSE,
DEF-COURSE,relates to,IA-COURSE-CAT,
DEF-UNIT,relates to,DE-SRS-UNIT,
DEF-ENROLLED-STUDENT,relates to,DE-SRS-ENROLMENT,
DEF-ENROLLED-STUDENT,relates to,IA-STUDENT-ENROL,
WP-CMS-UPGRADE,impacts,PAC-CMS,
WP-CMS-UPGRADE,impacts,INT-CMS-SRS,
WP-CMS-UPGRADE,impacts,DE-CMS-UNIT-OUTLINE,
