id,type,name,key,description,status,lifecycle_status,links,level,includes_pii,available_in_analytics_platform,confidentiality_risk_rating,integrity_risk_rating,availability_risk_rating,information_category_description,source,owner,cmdb_sub_type,data_product_type,definition,type_of_measure
LDC-TEACH,Logical Data Component,Teaching and Learning,LDC-TEACH,"Subject area covering the design, delivery and assessment of learning.",approved,Live,,1,,,,,,,Reference data model v3,,,,,
LDC-CURR,Logical Data Component,Curriculum,LDC-CURR,"The **Curriculum** topic contains data related to the learning opportunities offered by an institution: courses, units, offerings and their outlines.",approved,Live,https://example.edu/bim/curriculum,2,,,,,,,Reference data model v3,,,,,
LDC-STUD,Logical Data Component,Student,LDC-STUD,Subject area covering people studying at the institution.,approved,Live,,1,,,,,,,Reference data model v3,,,,,
LDC-ENROL,Logical Data Component,Enrolment,LDC-ENROL,The Enrolment topic covers admission and enrolment of students into courses and units.,approved,Live,,2,,,,,,,Reference data model v3,,,,,
IA-COURSE-CAT,Information Asset,Course Catalogue,IA-COURSE-CAT,"The published list of courses and units, their structure, credit points and prerequisites.",approved,Live,https://example.edu/register/course-catalogue,,,,Low,High,Medium,Curriculum and course information,Information asset register,Manager Curriculum Systems,,,,
IA-UNIT-OUTLINES,Information Asset,Unit Outlines,IA-UNIT-OUTLINES,Approved unit outlines with learning outcomes and assessment schedules.,approved,Live,,,,,Low,High,Medium,Curriculum and course information,Information asset register,Manager Curriculum Systems,,,,
IA-STUDENT-ENROL,Information Asset,Student Enrolment Records,IA-STUDENT-ENROL,Records of which students are enrolled in which units and courses.,approved,Live,,,,,High,High,High,Student information,Information asset register,Registrar,,,,
DE-SRS-COURSE,Data Entity,SRS_Course,DE-SRS-COURSE,Course master table in the student administration system.,approved,Live,,,false,true,,,,,Metadata catalogue,,,,,
DE-SRS-UNIT,Data Entity,SRS_Unit,DE-SRS-UNIT,Unit (subject) master table.,approved,Live,,,false,true,,,,,Metadata catalogue,,,,,
DE-SRS-COURSE-OFFERING,Data Entity,SRS_Course_Offering,DE-SRS-COURSE-OFFERING,A course offered in a teaching period at a campus.,approved,Live,,,false,true,,,,,Metadata catalogue,,,,,
DE-SRS-ENROLMENT,Data Entity,SRS_Enrolment,DE-SRS-ENROLMENT,A student's enrolment in a unit offering.,approved,Live,,,true,true,,,,,Metadata catalogue,,,,,
DE-CMS-UNIT-OUTLINE,Data Entity,CMS_Unit_Outline,DE-CMS-UNIT-OUTLINE,Unit outline document records in the curriculum management system.,approved,Live,,,false,false,,,,,Metadata catalogue,,,,,
DE-LMS-UNIT-SITE,Data Entity,LMS_Unit_Site,DE-LMS-UNIT-SITE,A unit's site in the learning management system.,approved,Live,,,false,false,,,,,Metadata catalogue,,,,,
DE-EDW-DIM-COURSE,Data Entity,EDW_Dim_Course,DE-EDW-DIM-COURSE,Conformed course dimension in the warehouse.,approved,Live,,,false,true,,,,,Metadata catalogue,,,,,
PAC-SRS,Physical Application Component,Student Records System (SRS),PAC-SRS,Student records system for admissions and enrolments and results.,approved,Live,https://example.edu/cmdb/srs,,,,,,,,CMDB Product Catalogue,,Application,,,
PAC-CMS,Physical Application Component,Curriculum Management System,PAC-CMS,Where courses and units are designed and approved before publication.,approved,Live,,,,,,,,,CMDB Product Catalogue,,Application,,,
PAC-LMS,Physical Application Component,Learning Management System,PAC-LMS,Online learning platform hosting unit sites.,approved,Live,,,,,,,,,CMDB Product Catalogue,,Application,,,
PAC-EDW,Physical Application Component,Enterprise Data Warehouse,PAC-EDW,The analytics platform's warehouse layer.,approved,Live,,,,,,,,,CMDB Product Catalogue,,Application,,,
PTC-RDBMS,Physical Technology Component,Relational Database Platform,PTC-RDBMS,Relational database platform hosting SRS and CMS schemas.,approved,Live,,,,,,,,,CMDB Product Catalogue,,Database platform,,,
PTC-LAKEHOUSE,Physical Technology Component,Lakehouse Platform,PTC-LAKEHOUSE,Lakehouse platform hosting the warehouse and analytics workloads.,approved,Live,,,,,,,,,CMDB Product Catalogue,,Platform,,,
PTC-IPAAS,Physical Technology Component,Integration Platform,PTC-IPAAS,Integration platform.,approved,Live,,,,,,,,,CMDB Product Catalogue,,Tool,,,
